iid,dataname,epsilon,personalized,clean_per_class,poisoned_per_class,asr,cad
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.0000, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.990350902080536,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9898, 0.9904, 0.0000, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9808061122894288,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9877, 0.9903, 0.9779, 0.9775, 0.9959, 0.9831, 0.9824, 0.9862, 0.9735,
        0.9839])","tensor([0.9877, 0.9895, 0.9761, 0.0000, 0.9949, 0.9820, 0.9844, 0.9882, 0.9795,
        0.9860])",0.9784101843833924,0.002916395664215
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9898, 0.9904, 0.9779, 0.9775, 0.0000, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9948717951774596,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9898, 0.9904, 0.9779, 0.9775, 0.9938, 0.0000, 0.9875, 0.9824, 0.9776,
        0.9889])",0.985343873500824,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9888, 0.9921, 0.9788, 0.9812, 0.9959, 0.9810, 0.9844, 0.9805, 0.9726,
        0.9850])","tensor([0.9908, 0.9904, 0.9798, 0.9842, 0.9959, 0.9810, 0.0000, 0.9815, 0.9755,
        0.9869])",0.988577365875244,0.0024391412734985
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.0000, 0.9776,
        0.9889])",0.9833822250366212,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9929, 0.9904, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.0000,
        0.9889])",0.9795918464660645,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9908, 0.9904, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9776,
        0.0000])",0.9889224767684937,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.0000, 0.9904, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9887754917144777,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9930, 0.0000, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9808061122894288,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9869, 0.9779, 0.9794, 0.9959, 0.9831, 0.9896, 0.9833, 0.9745,
        0.9850])","tensor([0.9867, 0.9852, 0.9798, 0.0000, 0.9938, 0.9809, 0.9885, 0.9843, 0.9785,
        0.9879])",0.9783677458763124,0.0015316009521484
